clase,rank,token,chi2
1,1,pobreza,161.54360389306805
1,2,pobres,52.650746670332865
1,3,pobreza infantil,28.648372115823122
1,4,ingresos,27.79368781630573
1,5,hogares,27.732466065730925
1,6,privacion,24.204098429139176
1,7,umbral,19.90136720573165
1,8,extrema,18.547132505555922
1,9,linea pobreza,18.49310385685169
1,10,tasa pobreza,17.33732212803391
3,1,salud,61.455510476769675
3,2,atencion,48.733749485595155
3,3,pacientes,27.143279782972968
3,4,pobreza,25.17542410488388
3,5,mental,24.88322982374707
3,6,medicos,24.21031747663163
3,7,atencion primaria,23.68984285832228
3,8,salud mental,22.236093013184608
3,9,enfermedades,20.928364811178582
3,10,educacion,18.661303076102563
4,1,estudiantes,37.94878522160275
4,2,escuelas,36.89066738364241
4,3,educacion,36.408491844700904
4,4,pobreza,30.73485343921103
4,5,aprendizaje,28.850236148184983
4,6,salud,28.486407691473644
4,7,docentes,26.735715405374123
4,8,alumnos,23.327244658843405
4,9,escuela,22.510257426871526
4,10,atencion,19.886645607479924
